ticker,company,country
JHG,Janus Henderson Group plc,United Kingdom
LBPS,4D pharma plc,United Kingdom
ROIV,Roivant Sciences Ltd.,United Kingdom
HTWSF,HELIOS TOWERS PLC,United Kingdom
LMDX,LumiraDx Limited,United Kingdom
MLSPF,MELROSE INDUSTRIES PLC,United Kingdom
WEJO,Wejo Group Limited,United Kingdom
MDJH,MDJM LTD,United Kingdom
ACP,Aberdeen Income Credit Strategi,United Kingdom
AOD,Aberdeen Total Dynamic Dividend,United Kingdom
BSN,Broadstone Acquisition Corp.,United Kingdom
OCDDY,OCADO GROUP PLC ADR EACH REPR 2,United Kingdom
CNNWF,CINEWORLD GROUP,United Kingdom
IIAC,Investindustrial Acquisition Co,United Kingdom
EVTL,Vertical Aerospace Ltd.,United Kingdom
CSPLF,COUNTRYSIDE PARTNERSHIPS PLC,United Kingdom
WTW,Willis Towers Watson Public Lim,United Kingdom
IMCR,Immunocore Holdings plc,United Kingdom
SHEL,Shell PLC,United Kingdom
SCPPF,S4 CAPITAL PLC,United Kingdom
TCBP,TC BioPharm (Holdings) plc,United Kingdom
IHG,Intercontinental Hotels Group,United Kingdom
CCEP,Coca-Cola Europacific Partners,United Kingdom
FDEU,First Trust Dynamic Europe Equi,United Kingdom
INCPY,INCHCAPE SPON ADR EACH REP 1 OR,United Kingdom
MGPUF,M&G PLC,United Kingdom
AKAN,Akanda Corp.,United Kingdom
FCO,17210,United Kingdom
KYYWF,KEYWORDS STUDIOS PLC,United Kingdom
ONTTF,OXFORD NANOPORE TECHNOLOGIES PL,United Kingdom
BSEAF,BRAEMAR PLC,United Kingdom
OKYO,OKYO Pharma Limited,United Kingdom
WTBDY,WHITBREAD SPON ADR EACH REP 0.2,United Kingdom
GRRR,Gorilla Technology Group Inc.,United Kingdom
VRAX,Virax Biolabs Group Limited,United Kingdom
HLN,Haleon plc,United Kingdom
AVVIY,AVIVA UNSPON ADR EACH REP 2 ORD,United Kingdom
SLN,Silence Therapeutics Plc - Amer,United Kingdom
JDSPY,JD SPORTS FASHION PLC UNSP ADR,United Kingdom
BTDPY,BARRATT DEVELOPMENTS UNSP ADR E,United Kingdom
CINGF,COINSILIUM GROUP LTD,United Kingdom
CRNCY,CAPRICORN ENERGY PLC,United Kingdom
SLNA,Selina Hospitality PLC,United Kingdom
ABCM,Abcam plc,United Kingdom
PRDL,PROFITABLE DEVS IN,United Kingdom
DKDCA,Data Knights Acquisition Corp.,United Kingdom
ARGGY,ASTON MARTIN LAGONDA GBL HLDGS,United Kingdom
RTO,Rentokil Initial plc,United Kingdom
HBRIY,HARBOUR ENERGY PLC SPON ADR EAC,United Kingdom
BDRX,Biodexa Pharmaceuticals plc,United Kingdom
SAVNF,SAVANNAH RESOURCES PLC,United Kingdom
IMBBF,IMPERIAL BRANDS PLC,United Kingdom
CLCO,Cool Company Ltd.,United Kingdom
STMZF,SCOTTISH MORTGAGE INV TRUST,United Kingdom
AAFRF,AIRTEL AFRICA PLC,United Kingdom
TSCDY,TESCO SPON ADR ECH REP 3 ORD (P,United Kingdom
EDTX,EdtechX Holdings Acquisition Co,United Kingdom
GRGTF,GRAINGER PLC,United Kingdom
AURC,Aurora Acquisition Corp.,United Kingdom
BCKIF,BABCOCK INTERNATIONAL GROUP,United Kingdom
CNWGQ,CINEWORLD GROUP UNSP ADR EACH R,United Kingdom
DMPZF,DOMINO'S PIZZA GROUP PLC,United Kingdom
